Do You Remember the Dime?,Popular Birds,Local Burger Chains,Unusual Sports,Interactive Music Systems,Rick & Morty Season 1
[DD]: Whose face is depicted on the U.S. dime?,"In year 2000, what large yellow avian was named a Living Legend by the Library of Congress for thirty years of bringing delight on children's television?","Living up to its name, which fast-food chain started as the first drive-thru hamburger stand in California?","What sport uses balls known as quaffles, bludgers, and the snitch?","Which 2005 Playstation 2 title took inspiration from GuitarFreaks, a japanese arcade game with a guitar-shaped controller?","In the episode ""Raising Gazorpazorp,"" Morty has a son who is half human and half Gazorpazorp. Breeding between species can be observed in real life. What is the offspring of a male donkey and a female horse called?"
Franklin D. Roosevelt,Big Bird (Caroll Spinney),In-N-Out Burger,Quidditch,Guitar Hero,Mule
"The initials on the 1946 update of the dime were alleged to be of which communist leader rather than the coin's designer, John Sinnock?","What Looney Toons rooster is named for his breed and his loud, overbearing voice?","Which chain started as a kiosk in a New York, serving its now-famous angus burgers and its eponymous drinkable desserts?",What art performance turned competivie sport combines a cerebreal board game and physical combat?,"What app, released in 2008, turns the iPhone into an ancient flute which is found familiar by Legend of Zelda fans?","In the episode ""Anatomy Park,"" Rick is upset when the new owners decide to close Pirates of the Pancreas, his favorite ride. Their rationality is that, rather than pirates, the pancreas produces which hormone that is essential to using and storing glucose? "
Joseph Stalin,Foghorn Leghorn,Shake Shack,Chess Boxing,Ocarina,Insulin
Dimes are small because they were originally made out of which expensive metal?,What name does Russell decide to give to the rare bird in the movie Up?,Which Virginia-based hamburger chan is famous for the free peanuts provided in most of its locations?,In which sport does a jammers attempt to lap blockers on the opposing team by staking around a rink?,What 1996 Playstation title has been deemed the first infuential rhythm game and stars a paper-thin rapping dog?,"In the episode ""Meseeks and Destroy,"" Jerry wants to take two strokes off of his golf game. If Jerry is able to get two strokes under par, what bird would this be called?"
Silver,Kevin,Five Guys,Roller Derby,PaRappa the Rapper,Eagle
Which element is the modern-day dime primarily composed of?,What is the first and last name of Fox McCloud's feathered friend?,Which midwestern and mid-atlantic restaurant is credited with being the first fast-food hamburger chain?,What sport was created by Alan Blake as a way to keep members of his club active when it was too cold to be diving in the sea?,What Disney-themed rhythm game has users waving their hands in timed patterns like an eccentric conductor of a symphony?,"[DD]: In the episode ""Ricksy Business,"" we meet Abradolf Lincler, the failed result of an experiment to create a morally-neutral super-leader. He suffers from holding conflicting beliefs, a psychological stressor known as what?"
Copper,Falco Lombardi,White Castle,Underwater hockey,Fantasia: Music Evolved,Cognitive Dissonance
One side of the U.S. dime depicts a torch and branches from which two trees?,What is the name of the bird Stuart Little goes off in search of in the E. B. White children's novel?,What Texas-based fast food hamburger chain is named after what its creator wanted customers to say after taking a bite of its main product?,What variant of a popular sport is played mainly in Eastern Canada and New England and uses smaller balls and thinner pins?,"What eight-note shaped electronic instrument was made to answer the question, ""What does a tadpole sound like?""","In the episode ""Rixty Minutes,"" the family watches a TV show from a world inhabited by hampsters that live in butts. Assuming the hampster benefits without affecting its host, this is an example of what ecological phenomenon?"
Olive and Oak,Margalo,Whataburger,Candlepin Bowling,Otomatone,Commensalism
